"Treatment","Sex","BrainRegion","MouseID","Cluster","n","percentage"
"COLD","F","ARC","MR138","Ameboid",63,0.35593220338983
"COLD","F","ARC","MR138","Rod-Like",38,0.214689265536723
"COLD","F","ARC","MR138","Ramified",76,0.429378531073446
"COLD","F","ARC","MR139","Ameboid",85,0.342741935483871
"COLD","F","ARC","MR139","Rod-Like",43,0.173387096774194
"COLD","F","ARC","MR139","Ramified",120,0.483870967741935
"COLD","F","ARC","MR196","Ameboid",87,0.321033210332103
"COLD","F","ARC","MR196","Rod-Like",77,0.284132841328413
"COLD","F","ARC","MR196","Ramified",107,0.394833948339483
"COLD","F","ARC","MR198","Ameboid",80,0.349344978165939
"COLD","F","ARC","MR198","Rod-Like",46,0.200873362445415
"COLD","F","ARC","MR198","Ramified",103,0.449781659388646
"COLD","F","ARC","MR284","Ameboid",89,0.373949579831933
"COLD","F","ARC","MR284","Rod-Like",58,0.243697478991597
"COLD","F","ARC","MR284","Ramified",91,0.382352941176471
"COLD","F","ARC","MR290","Ameboid",55,0.314285714285714
"COLD","F","ARC","MR290","Rod-Like",38,0.217142857142857
"COLD","F","ARC","MR290","Ramified",82,0.468571428571429
"COLD","F","HYPO","MR138","Ameboid",344,0.244144783534422
"COLD","F","HYPO","MR138","Rod-Like",338,0.239886444286728
"COLD","F","HYPO","MR138","Ramified",727,0.51596877217885
"COLD","F","HYPO","MR139","Ameboid",521,0.316524908869988
"COLD","F","HYPO","MR139","Rod-Like",450,0.273390036452005
"COLD","F","HYPO","MR139","Ramified",675,0.410085054678007
"COLD","F","HYPO","MR196","Ameboid",371,0.288267288267288
"COLD","F","HYPO","MR196","Rod-Like",365,0.283605283605284
"COLD","F","HYPO","MR196","Ramified",551,0.428127428127428
"COLD","F","HYPO","MR198","Ameboid",516,0.306413301662708
"COLD","F","HYPO","MR198","Rod-Like",455,0.270190023752969
"COLD","F","HYPO","MR198","Ramified",713,0.423396674584323
"COLD","F","HYPO","MR284","Ameboid",607,0.349453080023028
"COLD","F","HYPO","MR284","Rod-Like",580,0.333909038572251
"COLD","F","HYPO","MR284","Ramified",550,0.316637881404721
"COLD","F","HYPO","MR290","Ameboid",285,0.226550079491256
"COLD","F","HYPO","MR290","Rod-Like",377,0.299682034976153
"COLD","F","HYPO","MR290","Ramified",596,0.473767885532591
"COLD","F","PVN","MR138","Ameboid",24,0.244897959183673
"COLD","F","PVN","MR138","Rod-Like",11,0.112244897959184
"COLD","F","PVN","MR138","Ramified",63,0.642857142857143
"COLD","F","PVN","MR139","Ameboid",40,0.434782608695652
"COLD","F","PVN","MR139","Rod-Like",15,0.16304347826087
"COLD","F","PVN","MR139","Ramified",37,0.402173913043478
"COLD","F","PVN","MR196","Ameboid",35,0.330188679245283
"COLD","F","PVN","MR196","Rod-Like",17,0.160377358490566
"COLD","F","PVN","MR196","Ramified",54,0.509433962264151
"COLD","F","PVN","MR198","Ameboid",26,0.317073170731707
"COLD","F","PVN","MR198","Rod-Like",18,0.219512195121951
"COLD","F","PVN","MR198","Ramified",38,0.463414634146341
"COLD","F","PVN","MR284","Ameboid",39,0.52
"COLD","F","PVN","MR284","Rod-Like",13,0.173333333333333
"COLD","F","PVN","MR284","Ramified",23,0.306666666666667
"COLD","F","PVN","MR290","Ameboid",15,0.254237288135593
"COLD","F","PVN","MR290","Rod-Like",12,0.203389830508475
"COLD","F","PVN","MR290","Ramified",32,0.542372881355932
"COLD","M","ARC","MR140","Ameboid",59,0.361963190184049
"COLD","M","ARC","MR140","Rod-Like",40,0.245398773006135
"COLD","M","ARC","MR140","Ramified",64,0.392638036809816
"COLD","M","ARC","MR141","Ameboid",77,0.322175732217573
"COLD","M","ARC","MR141","Rod-Like",47,0.196652719665272
"COLD","M","ARC","MR141","Ramified",115,0.481171548117155
"COLD","M","ARC","MR197","Ameboid",54,0.323353293413174
"COLD","M","ARC","MR197","Rod-Like",42,0.251497005988024
"COLD","M","ARC","MR197","Ramified",71,0.425149700598802
"COLD","M","ARC","MR199","Ameboid",86,0.356846473029046
"COLD","M","ARC","MR199","Rod-Like",57,0.236514522821577
"COLD","M","ARC","MR199","Ramified",98,0.406639004149378
"COLD","M","ARC","MR287","Ameboid",103,0.44206008583691
"COLD","M","ARC","MR287","Rod-Like",60,0.257510729613734
"COLD","M","ARC","MR287","Ramified",70,0.300429184549356
"COLD","M","ARC","MR294","Ameboid",66,0.34375
"COLD","M","ARC","MR294","Rod-Like",46,0.239583333333333
"COLD","M","ARC","MR294","Ramified",80,0.416666666666667
"COLD","M","HYPO","MR140","Ameboid",491,0.376533742331288
"COLD","M","HYPO","MR140","Rod-Like",332,0.254601226993865
"COLD","M","HYPO","MR140","Ramified",481,0.368865030674847
"COLD","M","HYPO","MR141","Ameboid",571,0.369818652849741
"COLD","M","HYPO","MR141","Rod-Like",416,0.269430051813472
"COLD","M","HYPO","MR141","Ramified",557,0.360751295336788
"COLD","M","HYPO","MR197","Ameboid",344,0.312159709618875
"COLD","M","HYPO","MR197","Rod-Like",320,0.29038112522686
"COLD","M","HYPO","MR197","Ramified",438,0.397459165154265
"COLD","M","HYPO","MR199","Ameboid",521,0.312725090036014
"COLD","M","HYPO","MR199","Rod-Like",441,0.264705882352941
"COLD","M","HYPO","MR199","Ramified",704,0.422569027611044
"COLD","M","HYPO","MR287","Ameboid",492,0.367713004484305
"COLD","M","HYPO","MR287","Rod-Like",415,0.3101644245142
"COLD","M","HYPO","MR287","Ramified",431,0.322122571001495
"COLD","M","HYPO","MR294","Ameboid",296,0.209039548022599
"COLD","M","HYPO","MR294","Rod-Like",366,0.258474576271186
"COLD","M","HYPO","MR294","Ramified",754,0.532485875706215
"COLD","M","PVN","MR140","Ameboid",19,0.311475409836066
"COLD","M","PVN","MR140","Rod-Like",17,0.278688524590164
"COLD","M","PVN","MR140","Ramified",25,0.40983606557377
"COLD","M","PVN","MR141","Ameboid",31,0.348314606741573
"COLD","M","PVN","MR141","Rod-Like",17,0.191011235955056
"COLD","M","PVN","MR141","Ramified",41,0.460674157303371
"COLD","M","PVN","MR199","Ameboid",31,0.382716049382716
"COLD","M","PVN","MR199","Rod-Like",13,0.160493827160494
"COLD","M","PVN","MR199","Ramified",37,0.45679012345679
"COLD","M","PVN","MR200","Ameboid",13,0.245283018867925
"COLD","M","PVN","MR200","Rod-Like",14,0.264150943396226
"COLD","M","PVN","MR200","Ramified",26,0.490566037735849
"COLD","M","PVN","MR287","Ameboid",13,0.254901960784314
"COLD","M","PVN","MR287","Rod-Like",8,0.156862745098039
"COLD","M","PVN","MR287","Ramified",30,0.588235294117647
"COLD","M","PVN","MR294","Ameboid",18,0.222222222222222
"COLD","M","PVN","MR294","Rod-Like",18,0.222222222222222
"COLD","M","PVN","MR294","Ramified",45,0.555555555555556
"CON","F","ARC","MR156","Ameboid",56,0.301075268817204
"CON","F","ARC","MR156","Rod-Like",22,0.118279569892473
"CON","F","ARC","MR156","Ramified",108,0.580645161290323
"CON","F","ARC","MR159","Ameboid",60,0.288461538461538
"CON","F","ARC","MR159","Rod-Like",52,0.25
"CON","F","ARC","MR159","Ramified",96,0.461538461538462
"CON","F","ARC","MR161","Ameboid",81,0.310344827586207
"CON","F","ARC","MR161","Rod-Like",65,0.24904214559387
"CON","F","ARC","MR161","Ramified",115,0.440613026819923
"CON","F","ARC","MR175","Ameboid",73,0.328828828828829
"CON","F","ARC","MR175","Rod-Like",57,0.256756756756757
"CON","F","ARC","MR175","Ramified",92,0.414414414414414
"CON","F","ARC","MR277","Ameboid",90,0.422535211267606
"CON","F","ARC","MR277","Rod-Like",45,0.211267605633803
"CON","F","ARC","MR277","Ramified",78,0.366197183098592
"CON","F","ARC","MR278","Ameboid",67,0.394117647058824
"CON","F","ARC","MR278","Rod-Like",40,0.235294117647059
"CON","F","ARC","MR278","Ramified",63,0.370588235294118
"CON","F","HYPO","MR156","Ameboid",405,0.262645914396887
"CON","F","HYPO","MR156","Rod-Like",368,0.238651102464332
"CON","F","HYPO","MR156","Ramified",769,0.498702983138781
"CON","F","HYPO","MR159","Ameboid",503,0.375093214019388
"CON","F","HYPO","MR159","Rod-Like",337,0.251304996271439
"CON","F","HYPO","MR159","Ramified",501,0.373601789709172
"CON","F","HYPO","MR161","Ameboid",575,0.351681957186544
"CON","F","HYPO","MR161","Rod-Like",413,0.252599388379205
"CON","F","HYPO","MR161","Ramified",647,0.395718654434251
"CON","F","HYPO","MR175","Ameboid",460,0.328336902212705
"CON","F","HYPO","MR175","Rod-Like",399,0.284796573875803
"CON","F","HYPO","MR175","Ramified",542,0.386866523911492
"CON","F","HYPO","MR277","Ameboid",565,0.339951865222623
"CON","F","HYPO","MR277","Rod-Like",492,0.296028880866426
"CON","F","HYPO","MR277","Ramified",605,0.364019253910951
"CON","F","HYPO","MR278","Ameboid",501,0.330257086354647
"CON","F","HYPO","MR278","Rod-Like",431,0.284113381674357
"CON","F","HYPO","MR278","Ramified",585,0.385629531970995
"CON","F","PVN","MR156","Ameboid",30,0.337078651685393
"CON","F","PVN","MR156","Rod-Like",18,0.202247191011236
"CON","F","PVN","MR156","Ramified",41,0.460674157303371
"CON","F","PVN","MR159","Ameboid",33,0.28448275862069
"CON","F","PVN","MR159","Rod-Like",21,0.181034482758621
"CON","F","PVN","MR159","Ramified",62,0.53448275862069
"CON","F","PVN","MR161","Ameboid",36,0.428571428571429
"CON","F","PVN","MR161","Rod-Like",16,0.19047619047619
"CON","F","PVN","MR161","Ramified",32,0.380952380952381
"CON","F","PVN","MR175","Ameboid",28,0.35
"CON","F","PVN","MR175","Rod-Like",18,0.225
"CON","F","PVN","MR175","Ramified",34,0.425
"CON","F","PVN","MR277","Ameboid",24,0.289156626506024
"CON","F","PVN","MR277","Rod-Like",15,0.180722891566265
"CON","F","PVN","MR277","Ramified",44,0.530120481927711
"CON","F","PVN","MR278","Ameboid",44,0.483516483516484
"CON","F","PVN","MR278","Rod-Like",16,0.175824175824176
"CON","F","PVN","MR278","Ramified",31,0.340659340659341
"CON","M","ARC","MR157","Ameboid",39,0.317073170731707
"CON","M","ARC","MR157","Rod-Like",22,0.178861788617886
"CON","M","ARC","MR157","Ramified",62,0.504065040650406
"CON","M","ARC","MR158","Ameboid",92,0.429906542056075
"CON","M","ARC","MR158","Rod-Like",38,0.177570093457944
"CON","M","ARC","MR158","Ramified",84,0.392523364485981
"CON","M","ARC","MR169","Ameboid",73,0.347619047619048
"CON","M","ARC","MR169","Rod-Like",35,0.166666666666667
"CON","M","ARC","MR169","Ramified",102,0.485714285714286
"CON","M","ARC","MR172","Ameboid",77,0.30078125
"CON","M","ARC","MR172","Rod-Like",76,0.296875
"CON","M","ARC","MR172","Ramified",103,0.40234375
"CON","M","ARC","MR273","Ameboid",82,0.392344497607655
"CON","M","ARC","MR273","Rod-Like",46,0.220095693779904
"CON","M","ARC","MR273","Ramified",81,0.38755980861244
"CON","M","ARC","MR274","Ameboid",56,0.311111111111111
"CON","M","ARC","MR274","Rod-Like",40,0.222222222222222
"CON","M","ARC","MR274","Ramified",84,0.466666666666667
"CON","M","HYPO","MR157","Ameboid",279,0.243455497382199
"CON","M","HYPO","MR157","Rod-Like",316,0.275741710296684
"CON","M","HYPO","MR157","Ramified",551,0.480802792321117
"CON","M","HYPO","MR158","Ameboid",423,0.28952772073922
"CON","M","HYPO","MR158","Rod-Like",364,0.249144421629021
"CON","M","HYPO","MR158","Ramified",674,0.461327857631759
"CON","M","HYPO","MR169","Ameboid",443,0.296916890080429
"CON","M","HYPO","MR169","Rod-Like",391,0.262064343163539
"CON","M","HYPO","MR169","Ramified",658,0.441018766756032
"CON","M","HYPO","MR172","Ameboid",387,0.263803680981595
"CON","M","HYPO","MR172","Rod-Like",402,0.274028629856851
"CON","M","HYPO","MR172","Ramified",678,0.462167689161554
"CON","M","HYPO","MR273","Ameboid",629,0.410039113428944
"CON","M","HYPO","MR273","Rod-Like",432,0.281616688396349
"CON","M","HYPO","MR273","Ramified",473,0.308344198174707
"CON","M","HYPO","MR274","Ameboid",629,0.419333333333333
"CON","M","HYPO","MR274","Rod-Like",403,0.268666666666667
"CON","M","HYPO","MR274","Ramified",468,0.312
"CON","M","PVN","MR157","Ameboid",43,0.457446808510638
"CON","M","PVN","MR157","Rod-Like",24,0.25531914893617
"CON","M","PVN","MR157","Ramified",27,0.287234042553192
"CON","M","PVN","MR158","Ameboid",21,0.323076923076923
"CON","M","PVN","MR158","Rod-Like",7,0.107692307692308
"CON","M","PVN","MR158","Ramified",37,0.569230769230769
"CON","M","PVN","MR169","Ameboid",32,0.395061728395062
"CON","M","PVN","MR169","Rod-Like",12,0.148148148148148
"CON","M","PVN","MR169","Ramified",37,0.45679012345679
"CON","M","PVN","MR172","Ameboid",18,0.285714285714286
"CON","M","PVN","MR172","Rod-Like",17,0.26984126984127
"CON","M","PVN","MR172","Ramified",28,0.444444444444444
"CON","M","PVN","MR273","Ameboid",30,0.461538461538462
"CON","M","PVN","MR273","Rod-Like",10,0.153846153846154
"CON","M","PVN","MR273","Ramified",25,0.384615384615385
"CON","M","PVN","MR274","Ameboid",43,0.48314606741573
"CON","M","PVN","MR274","Rod-Like",21,0.235955056179775
"CON","M","PVN","MR274","Ramified",25,0.280898876404494
